num,manufacturer,manufacturerUrl,modelName,productUrl,note,Rsensitivity,Wsensitivity,Z866,Z915,Z953
0xb115,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb116,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb117,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb118,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb119,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11a,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11b,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11c,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11d,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11e,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb11f,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4425,https://www.emmicroelectronic.com/product/nfc-high-frequency-ics/em-echo-v ,,0,0,0j,0j,0j
0xb120,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4152,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-sense,,0,0,0j,0j,0j
0xb121,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4152,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-sense,,0,0,0j,0j,0j
0xb122,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4152,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-sense ,,0,0,0j,0j,0j
0xb123,EM Microelectronic ,http://www.emmicroelectronic.com/,EM4152,https://www.emmicroelectronic.com/product/epc-and-uhf-ics/em-aura-sense ,,0,0,0j,0j,0j
0xc000,Renesas Technology Corp.,http://america.renesas.com/,,,,0,0,0j,0j,0j
0xd000,Mstar,http://www.mstarsemi.com/,,,,0,0,0j,0j,0j
0xe000,Tyco International,http://www.tyco.com/,,,,0,0,0j,0j,0j
0xf000,Quanray Electronics,http://www.quanray.com/en/home.asp,,,,0,0,0j,0j,0j
0x10000,Fujitsu,http://www.fujitsu.com/,,,,0,0,0j,0j,0j
0x10000,LSIS,http://eng.lsis.biz/,,,,0,0,0j,0j,0j
0x10000,CAEN RFID srl,http://www.caenrfid.it/,,,,0,0,0j,0j,0j
0x10000,Productivity Engineering Gesellschaft fuer IC Design mbH,http://www.pe-gmbh.com/,,,,0,0,0j,0j,0j
0x10000,Federal Electric Corp.,http://www.fec-corp.com/en/index.php,,,,0,0,0j,0j,0j
0x10000,ON Semiconductor,http://www.onsemi.com/,,,,0,0,0j,0j,0j
0x10000,Ramtron,http://www.ramtron.com/,,,,0,0,0j,0j,0j
0x10000,Tego,http://www.tegoinc.com/,,,,0,0,0j,0j,0j
0x10000,Ceitec S.A.,http://www.ceitec-sa.com/en/home/,,,,0,0,0j,0j,0j
0x10000,CPA Wernher von Braun,http://www.vonbraunlabs.com.br/en/,,,,0,0,0j,0j,0j
0x10000,TransCore,http://www.transcore.com/,,,,0,0,0j,0j,0j
0x10000,Nationz,http://www.nationz.com.cn/,,,,0,0,0j,0j,0j
0x10000,Invengo,http://www.invengo.com/,,,,0,0,0j,0j,0j
0x10000,Kiloway,http://www.kiloway.com/,,,,0,0,0j,0j,0j
0x10000,Longjing Microelectronics Co. Ltd.,http://www.szlongjing.com/,,,,0,0,0j,0j,0j
0x10000,Chipus Microelectronics,http://www.chipus-ip.com/,,,,0,0,0j,0j,0j
0x20000,ORIDAO,http://www.oridao.com/,,,,0,0,0j,0j,0j
0x20000,Maintag,http://www.maintag.com/,,,,0,0,0j,0j,0j
0x20000,Yangzhou Daoyuan Microelectronics Co. Ltd,http://www.daoyuanmicro.com/,,,,0,0,0j,0j,0j
0x20000,Gate Elektronik,http://www.gateelektronik.com.tr/,,,,0,0,0j,0j,0j
0x20000,"RFMicron, Inc.",http://www.rfmicron.com/,,,,0,0,0j,0j,0j
0x20000,RST-Invent LLC,http://www.rst-invent.com/,,,,0,0,0j,0j,0j
0x20000,Crystone Technology,http://www.crystonetech.com/,,,,0,0,0j,0j,0j
0x20000,Shanghai Fudan Microelectronics Group ,http://www.fmsh.com/eng/,,,,0,0,0j,0j,0j
0x20000,Farsens,http://www.farsens.com/,,,,0,0,0j,0j,0j
0x20000,Giesecke & Devrient GmbH,http://www.gi-de.com/,,,,0,0,0j,0j,0j
0x20000,AWID,http://www.awid.com/,,,,0,0,0j,0j,0j
0x20000,Unitec Semicondutores S/A,http://www.unitecgroup.net/,,,,0,0,0j,0j,0j
0x20000,Q-Free ASA,https://www.q-free.com/,,,,0,0,0j,0j,0j
0x20000,Valid S.A.,http://www.valid.com/,,,,0,0,0j,0j,0j
0x20000,Fraunhofer IPMS,http://www.ipms.fraunhofer.de/,,,,0,0,0j,0j,0j
0x20000,ams AG,http://www.ams.com/,,,,0,0,0j,0j,0j
0x30000,Angstrem JSC,http://www.angstrem.ru/,,,,0,0,0j,0j,0j
0x30000,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30001,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30002,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30003,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
0x30004,Honeywell,http://www.honeywell.com/,IT70,,,0,0,0j,0j,0j
